Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jon Rahm (19186909),Jon Rahm,19186909,G,12100,Fortinet Championship,Golf,89.21
G,Hideki Matsuyama (19186910),Hideki Matsuyama,19186910,G,11000,Fortinet Championship,Golf,71.11
G,Webb Simpson (19186911),Webb Simpson,19186911,G,10800,Fortinet Championship,Golf,76.55
G,Will Zalatoris (19186912),Will Zalatoris,19186912,G,10500,Fortinet Championship,Golf,81.70
G,Kevin Na (19186913),Kevin Na,19186913,G,10000,Fortinet Championship,Golf,68.96
G,Cameron Tringale (19186914),Cameron Tringale,19186914,G,9700,Fortinet Championship,Golf,67.83
G,Marc Leishman (19186915),Marc Leishman,19186915,G,9500,Fortinet Championship,Golf,59.94
G,Si Woo Kim (19186916),Si Woo Kim,19186916,G,9300,Fortinet Championship,Golf,58.82
G,Sebastian Munoz (19186917),Sebastian Munoz,19186917,G,9200,Fortinet Championship,Golf,61.72
G,Harold Varner III (19186918),Harold Varner III,19186918,G,9100,Fortinet Championship,Golf,59.98
G,Cameron Champ (19186919),Cameron Champ,19186919,G,9000,Fortinet Championship,Golf,54.44
G,Emiliano Grillo (19186920),Emiliano Grillo,19186920,G,8900,Fortinet Championship,Golf,64.9
G,Charley Hoffman (19186921),Charley Hoffman,19186921,G,8800,Fortinet Championship,Golf,68.57
G,Max Homa (19186922),Max Homa,19186922,G,8700,Fortinet Championship,Golf,60.31
G,Maverick McNealy (19186923),Maverick McNealy,19186923,G,8600,Fortinet Championship,Golf,62.52
G,Chez Reavie (19186924),Chez Reavie,19186924,G,8500,Fortinet Championship,Golf,49.40
G,Brendon Todd (19186925),Brendon Todd,19186925,G,8400,Fortinet Championship,Golf,57.15
G,Brandt Snedeker (19186926),Brandt Snedeker,19186926,G,8300,Fortinet Championship,Golf,53.76
G,Stephan Jaeger (19186927),Stephan Jaeger,19186927,G,8200,Fortinet Championship,Golf,76.08
G,Phil Mickelson (19186928),Phil Mickelson,19186928,G,8100,Fortinet Championship,Golf,56.54
G,Talor Gooch (19186929),Talor Gooch,19186929,G,8000,Fortinet Championship,Golf,62.29
G,Mito Pereira (19186930),Mito Pereira,19186930,G,8000,Fortinet Championship,Golf,73.55
G,Doug Ghim (19186931),Doug Ghim,19186931,G,7900,Fortinet Championship,Golf,61.11
G,Pat Perez (19186932),Pat Perez,19186932,G,7900,Fortinet Championship,Golf,56.36
G,Roger Sloan (19186933),Roger Sloan,19186933,G,7800,Fortinet Championship,Golf,59.5
G,Adam Hadwin (19186934),Adam Hadwin,19186934,G,7800,Fortinet Championship,Golf,50.29
G,Charles Howell III (19186935),Charles Howell III,19186935,G,7700,Fortinet Championship,Golf,55.95
G,Lucas Herbert (19186936),Lucas Herbert,19186936,G,7700,Fortinet Championship,Golf,63.34
G,Taylor Moore (19186937),Taylor Moore,19186937,G,7700,Fortinet Championship,Golf,73.97
G,Brian Stuard (19186938),Brian Stuard,19186938,G,7600,Fortinet Championship,Golf,53.62
G,Harry Higgs (19186939),Harry Higgs,19186939,G,7600,Fortinet Championship,Golf,53.76
G,Sepp Straka (19186940),Sepp Straka,19186940,G,7600,Fortinet Championship,Golf,58.69
G,Ryan Moore (19186941),Ryan Moore,19186941,G,7500,Fortinet Championship,Golf,48.31
G,Dylan Frittelli (19186942),Dylan Frittelli,19186942,G,7500,Fortinet Championship,Golf,43
G,C.T. Pan (19186943),C.T. Pan,19186943,G,7500,Fortinet Championship,Golf,53.07
G,Patton Kizzire (19186944),Patton Kizzire,19186944,G,7500,Fortinet Championship,Golf,68.52
G,Brendan Steele (19186945),Brendan Steele,19186945,G,7400,Fortinet Championship,Golf,56.41
G,Sahith Theegala (19186946),Sahith Theegala,19186946,G,7400,Fortinet Championship,Golf,66.06
G,Taylor Pendrith (19186947),Taylor Pendrith,19186947,G,7400,Fortinet Championship,Golf,76.21
G,Aaron Rai (19186948),Aaron Rai,19186948,G,7400,Fortinet Championship,Golf,58.98
G,Kiradech Aphibarnrat (19186949),Kiradech Aphibarnrat,19186949,G,7300,Fortinet Championship,Golf,50.71
G,Adam Schenk (19186950),Adam Schenk,19186950,G,7300,Fortinet Championship,Golf,58.88
G,Nick Taylor (19186951),Nick Taylor,19186951,G,7300,Fortinet Championship,Golf,56.52
G,Joseph Bramlett (19186952),Joseph Bramlett,19186952,G,7300,Fortinet Championship,Golf,64.27
G,Lanto Griffin (19186953),Lanto Griffin,19186953,G,7300,Fortinet Championship,Golf,56.35
G,Doc Redman (19186954),Doc Redman,19186954,G,7200,Fortinet Championship,Golf,50.83
G,Troy Merritt (19186955),Troy Merritt,19186955,G,7200,Fortinet Championship,Golf,53.28
G,Hudson Swafford (19186956),Hudson Swafford,19186956,G,7200,Fortinet Championship,Golf,48.52
G,J.T. Poston (19186957),J.T. Poston,19186957,G,7200,Fortinet Championship,Golf,50.57
G,Adam Svensson (19186958),Adam Svensson,19186958,G,7200,Fortinet Championship,Golf,74.58
G,Tom Hoge (19186959),Tom Hoge,19186959,G,7100,Fortinet Championship,Golf,51.64
G,Luke List (19186960),Luke List,19186960,G,7100,Fortinet Championship,Golf,55.63
G,Russell Knox (19186961),Russell Knox,19186961,G,7100,Fortinet Championship,Golf,51.84
G,Greyson Sigg (19186962),Greyson Sigg,19186962,G,7100,Fortinet Championship,Golf,74
G,Hank Lebioda (19186963),Hank Lebioda,19186963,G,7100,Fortinet Championship,Golf,59.1
G,Patrick Rodgers (19186964),Patrick Rodgers,19186964,G,7000,Fortinet Championship,Golf,55.82
G,Alex Smalley (19186965),Alex Smalley,19186965,G,7000,Fortinet Championship,Golf,73.5
G,Scott Piercy (19186966),Scott Piercy,19186966,G,7000,Fortinet Championship,Golf,59.84
G,Chesson Hadley (19186967),Chesson Hadley,19186967,G,7000,Fortinet Championship,Golf,50.27
G,Matt Kuchar (19186968),Matt Kuchar,19186968,G,7000,Fortinet Championship,Golf,46.21
G,Chad Ramey (19186969),Chad Ramey,19186969,G,7000,Fortinet Championship,Golf,83.45
G,Peter Uihlein (19186970),Peter Uihlein,19186970,G,6900,Fortinet Championship,Golf,69.59
G,Danny Willett (19186971),Danny Willett,19186971,G,6900,Fortinet Championship,Golf,51.09
G,Ryan Armour (19186972),Ryan Armour,19186972,G,6900,Fortinet Championship,Golf,51.32
G,Michael Thompson (19186973),Michael Thompson,19186973,G,6900,Fortinet Championship,Golf,56.17
G,Andrew Putnam (19186974),Andrew Putnam,19186974,G,6900,Fortinet Championship,Golf,51.87
G,Scott Stallings (19186975),Scott Stallings,19186975,G,6900,Fortinet Championship,Golf,52.77
G,Hayden Buckley (19186976),Hayden Buckley,19186976,G,6800,Fortinet Championship,Golf,62.28
G,Cameron Percy (19186977),Cameron Percy,19186977,G,6800,Fortinet Championship,Golf,55.15
G,Bo Hoag (19186978),Bo Hoag,19186978,G,6800,Fortinet Championship,Golf,52.84
G,Kevin Yu (19186979),Kevin Yu,19186979,G,6800,Fortinet Championship,Golf,21.5
G,Sam Ryder (19186980),Sam Ryder,19186980,G,6800,Fortinet Championship,Golf,50.97
G,Jason Dufner (19186981),Jason Dufner,19186981,G,6800,Fortinet Championship,Golf,48.36
G,James Hahn (19186982),James Hahn,19186982,G,6800,Fortinet Championship,Golf,55.5
G,Joshua Creel (19186983),Joshua Creel,19186983,G,6700,Fortinet Championship,Golf,63.81
G,Brice Garnett (19186984),Brice Garnett,19186984,G,6700,Fortinet Championship,Golf,55.8
G,Kyle Stanley (19186985),Kyle Stanley,19186985,G,6700,Fortinet Championship,Golf,54.25
G,David Lipsky (19186986),David Lipsky,19186986,G,6700,Fortinet Championship,Golf,66.05
G,Denny McCarthy (19186987),Denny McCarthy,19186987,G,6700,Fortinet Championship,Golf,53.27
G,Kramer Hickok (19186988),Kramer Hickok,19186988,G,6700,Fortinet Championship,Golf,51.28
G,Brandon Hagy (19186989),Brandon Hagy,19186989,G,6700,Fortinet Championship,Golf,48.66
G,Vincent Whaley (19186990),Vincent Whaley,19186990,G,6600,Fortinet Championship,Golf,61.16
G,Trey Mullinax (19186991),Trey Mullinax,19186991,G,6600,Fortinet Championship,Golf,60.83
G,Adam Long (19186992),Adam Long,19186992,G,6600,Fortinet Championship,Golf,48
G,Kevin Tway (19186993),Kevin Tway,19186993,G,6600,Fortinet Championship,Golf,48.70
G,David Skinns (19186994),David Skinns,19186994,G,6600,Fortinet Championship,Golf,61.73
G,Lee Hodges (19186995),Lee Hodges,19186995,G,6600,Fortinet Championship,Golf,77.33
G,John Huh (19186996),John Huh,19186996,G,6600,Fortinet Championship,Golf,55.72
G,Bronson Burgoon (19186997),Bronson Burgoon,19186997,G,6600,Fortinet Championship,Golf,51.65
G,Mark Hubbard (19186998),Mark Hubbard,19186998,G,6500,Fortinet Championship,Golf,53.52
G,Kevin Chappell (19186999),Kevin Chappell,19186999,G,6500,Fortinet Championship,Golf,55.04
G,Tyler Duncan (19187000),Tyler Duncan,19187000,G,6500,Fortinet Championship,Golf,44.25
G,Michael Gligic (19187001),Michael Gligic,19187001,G,6500,Fortinet Championship,Golf,49.72
G,Justin Lower (19187002),Justin Lower,19187002,G,6500,Fortinet Championship,Golf,63.97
G,Jim Herman (19187003),Jim Herman,19187003,G,6500,Fortinet Championship,Golf,48.09
G,Andrew Novak (19187004),Andrew Novak,19187004,G,6500,Fortinet Championship,Golf,64.14
G,Andrew Landry (19187005),Andrew Landry,19187005,G,6500,Fortinet Championship,Golf,49.30
G,Cameron Young (19187006),Cameron Young,19187006,G,6500,Fortinet Championship,Golf,61.75
G,Brandon Wu (19187007),Brandon Wu,19187007,G,6400,Fortinet Championship,Golf,67.56
G,Ben Kohles (19187008),Ben Kohles,19187008,G,6400,Fortinet Championship,Golf,71.58
G,Dylan Wu (19187009),Dylan Wu,19187009,G,6400,Fortinet Championship,Golf,62.89
G,Danny Lee (19187010),Danny Lee,19187010,G,6400,Fortinet Championship,Golf,43.46
G,J.J. Spaun (19187011),J.J. Spaun,19187011,G,6400,Fortinet Championship,Golf,47.41
G,Matthew NeSmith (19187012),Matthew NeSmith,19187012,G,6400,Fortinet Championship,Golf,53.62
G,Wyndham Clark (19187013),Wyndham Clark,19187013,G,6400,Fortinet Championship,Golf,51.36
G,John Augenstein (19187014),John Augenstein,19187014,G,6400,Fortinet Championship,Golf,32.32
G,Davis Riley (19187015),Davis Riley,19187015,G,6400,Fortinet Championship,Golf,68.51
G,Sung Kang (19187016),Sung Kang,19187016,G,6400,Fortinet Championship,Golf,42.15
G,Justin Suh (19209935),Justin Suh,19209935,G,6400,Fortinet Championship,Golf,54.93
G,Seth Reeves (19187017),Seth Reeves,19187017,G,6300,Fortinet Championship,Golf,61.88
G,Kurt Kitayama (19187018),Kurt Kitayama,19187018,G,6300,Fortinet Championship,Golf,55.34
G,Dawie Van der Walt (19187019),Dawie Van der Walt,19187019,G,6300,Fortinet Championship,Golf,64.28
G,Bo Van Pelt (19187020),Bo Van Pelt,19187020,G,6300,Fortinet Championship,Golf,48.27
G,Austin Smotherman (19187021),Austin Smotherman,19187021,G,6300,Fortinet Championship,Golf,62.76
G,J.B. Holmes (19187022),J.B. Holmes,19187022,G,6300,Fortinet Championship,Golf,39.86
G,Beau Hossler (19187023),Beau Hossler,19187023,G,6300,Fortinet Championship,Golf,50.84
G,Callum Tarren (19187024),Callum Tarren,19187024,G,6300,Fortinet Championship,Golf,66.55
G,Austin Cook (19187025),Austin Cook,19187025,G,6300,Fortinet Championship,Golf,46.18
G,Aaron Baddeley (19187026),Aaron Baddeley,19187026,G,6200,Fortinet Championship,Golf,53.25
G,Nick Hardy (19187027),Nick Hardy,19187027,G,6200,Fortinet Championship,Golf,74.62
G,Jamie Lovemark (19187028),Jamie Lovemark,19187028,G,6200,Fortinet Championship,Golf,53.5
G,Jared Wolfe (19187029),Jared Wolfe,19187029,G,6200,Fortinet Championship,Golf,65.09
G,Sean O'Hair (19187030),Sean O'Hair,19187030,G,6200,Fortinet Championship,Golf,46.12
G,Ben Martin (19187031),Ben Martin,19187031,G,6200,Fortinet Championship,Golf,56.27
G,Tyler McCumber (19187032),Tyler McCumber,19187032,G,6200,Fortinet Championship,Golf,44.98
G,Trevor Werbylo (19187033),Trevor Werbylo,19187033,G,6200,Fortinet Championship,Golf,0
G,Nate Lashley (19187034),Nate Lashley,19187034,G,6200,Fortinet Championship,Golf,50.84
G,Paul Barjon (19187035),Paul Barjon,19187035,G,6200,Fortinet Championship,Golf,62.24
G,Bill Haas (19187036),Bill Haas,19187036,G,6200,Fortinet Championship,Golf,41.05
G,Curtis Thompson (19187037),Curtis Thompson,19187037,G,6200,Fortinet Championship,Golf,65.4
G,Chase Seiffert (19187048),Chase Seiffert,19187048,G,6100,Fortinet Championship,Golf,49.33
G,Quade Cummins (19187049),Quade Cummins,19187049,G,6100,Fortinet Championship,Golf,48.5
G,Nick Watney (19187038),Nick Watney,19187038,G,6100,Fortinet Championship,Golf,34.27
G,Max McGreevy (19187039),Max McGreevy,19187039,G,6100,Fortinet Championship,Golf,61.71
G,Peter Malnati (19187040),Peter Malnati,19187040,G,6100,Fortinet Championship,Golf,47.40
G,Seung-Yul Noh (19187041),Seung-Yul Noh,19187041,G,6100,Fortinet Championship,Golf,48.3
G,Vaughn Taylor (19187042),Vaughn Taylor,19187042,G,6100,Fortinet Championship,Golf,44.81
G,D.J. Trahan (19187043),D.J. Trahan,19187043,G,6100,Fortinet Championship,Golf,42.83
G,Ted Potter Jr. (19187044),Ted Potter Jr.,19187044,G,6100,Fortinet Championship,Golf,42.47
G,Jonas Blixt (19187045),Jonas Blixt,19187045,G,6100,Fortinet Championship,Golf,39.58
G,Scott Brown (19187046),Scott Brown,19187046,G,6100,Fortinet Championship,Golf,45.06
G,Turk Pettit (19187047),Turk Pettit,19187047,G,6100,Fortinet Championship,Golf,0
G,Kris Ventura (19209936),Kris Ventura,19209936,G,6100,Fortinet Championship,Golf,49.59
G,Chris Stroud (19187054),Chris Stroud,19187054,G,6000,Fortinet Championship,Golf,27.17
G,William McGirt (19187055),William McGirt,19187055,G,6000,Fortinet Championship,Golf,38.71
G,Jim Knous (19187056),Jim Knous,19187056,G,6000,Fortinet Championship,Golf,37.16
G,Jonathan Byrd (19187057),Jonathan Byrd,19187057,G,6000,Fortinet Championship,Golf,49.33
G,Martin Trainer (19187058),Martin Trainer,19187058,G,6000,Fortinet Championship,Golf,30.22
G,Kevin Stadler (19187059),Kevin Stadler,19187059,G,6000,Fortinet Championship,Golf,27.61
G,Michael Duncan (19187060),Michael Duncan,19187060,G,6000,Fortinet Championship,Golf,0
G,Brett Drewitt (19187050),Brett Drewitt,19187050,G,6000,Fortinet Championship,Golf,56.6
G,David Hearn (19187051),David Hearn,19187051,G,6000,Fortinet Championship,Golf,45.37
G,Kelly Kraft (19187052),Kelly Kraft,19187052,G,6000,Fortinet Championship,Golf,45.28
G,Scott Gutschewski (19187053),Scott Gutschewski,19187053,G,6000,Fortinet Championship,Golf,63.65
G,Michael Kim (19209937),Michael Kim,19209937,G,6000,Fortinet Championship,Golf,34.90
G,Joshua McCarthy (19209938),Joshua McCarthy,19209938,G,6000,Fortinet Championship,Golf,58
